Player's Name,Height,Weight,Birthplace City,Birthplace State,College,College City,College State,Plays From,Plays From State,Birth Date,Exempt Status,Combined States,Birthplace City and State,College City and State,Plays From City and State,Headshot Link,,
Robert MacIntyre,"5'11""",175,Oban,Scotland,None,None,None,"Oban, Scotland",Scotland,8/3/1996,Top 125 FedExCup 2024,Scotland-None-Scotland,"Oban, Scotland",N/A,"Oban, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52215.png",,
Russell Henley,"6'0""",180,Macon,Georgia,University of Georgia,Athens,Georgia,"Kiawah Island, SC",South Carolina,4/12/1989,Top 125 FedExCup 2024,Georgia-Georgia-South Carolina,"Macon, Georgia","Athens, Georgia","Kiawah Island, South Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34098.png",,
Shane Lowry,"6'1""",225,Clara,Ireland,None,None,None,"Jupiter, FL",Florida,4/2/1987,Top 125 FedExCup 2024,Ireland-None-Florida,"Clara, Ireland",N/A,"Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33204.png",,
Sepp Straka,"6'3""",235,Vienna,Austria,University of Georgia,Athens,Georgia,"Athens, GA",Georgia,5/1/1993,Top 50 OWGR 2025,Austria-Georgia-Georgia,"Vienna, Austria","Athens, Georgia","Athens, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49960.png",,
Billy Horschel,"6'0""",175,Grant,Florida,University of Florida,Gainesville,Florida,"Ponte Vedra Beach, FL",Florida,12/7/1986,Top 125 FedExCup 2024,Florida-Florida-Florida,"Grant, Florida","Gainesville, Florida","Ponte Vedra Beach, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29420.png",,
Sahith Theegala,"6'3""",185,Houston,Texas,Pepperdine University,Malibu,California,"Chino Hills, CA",California,10/4/1997,Top 125 FedExCup 2024,Texas-California-California,"Houston, Texas","Malibu, California","Chino Hills, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51634.png",,
Sungjae Im,"6'0""",200,Jeju Island,South Korea,None,None,None,"Las Vegas, NV",Nevada,3/30/1998,Top 125 FedExCup 2024,South Korea-None-Nevada,"Jeju Island, South Korea",N/A,"Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39971.png",,
Thomas Detry,"6'2""",170,Uccle,Belgium,University of Illinois,Urbana-Champaign,Illinois,"Brussels, Belgium",Belgium,1/13/1993,Top 125 FedExCup 2024,Belgium-Illinois-Belgium,"Uccle, Belgium","Urbana-Champaign, Illinois","Brussels, Belgium","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33653.png",,
Aaron Rai,"5'11""",150,Wolverhampton,England,None,None,None,"Wolverhampton, England",England,3/3/1995,Top 125 FedExCup 2024,England-None-England,"Wolverhampton, England",N/A,"Wolverhampton, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46414.png",,
Tom Kim,"6'0""",170,Seoul,South Korea,None,None,None,"Dallas, TX",Texas,6/21/2002,Top 125 FedExCup 2024,South Korea-None-Texas,"Seoul, South Korea",N/A,"Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55182.png",,
Adam Scott,"6'0""",180,Adelaide,Australia,"University of Nevada, Las Vegas",Las Vegas,Nevada,"Crans-Montana, Switzerland",N/A,7/16/1980,Top 125 FedExCup 2024,Australia-Nevada-N/A,"Adelaide, Australia","Las Vegas, Nevada","Crans-Montana, Switzerland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_24502.png",,
Tony Finau,"6'4""",200,Salt Lake City,Utah,None,None,None,"Scottsdale, AZ",Arizona,9/14/1989,Top 125 FedExCup 2024,Utah-None-Arizona,"Salt Lake City, Utah",N/A,"Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29725.png",,
Sam Burns,"6'1""",185,Shreveport,Louisiana,Louisiana State University,Baton Rouge,Louisiana,"Choudrant, LA",Louisiana,7/23/1996,Top 125 FedExCup 2024,Louisiana-Louisiana-Louisiana,"Shreveport, Louisiana","Baton Rouge, Louisiana","Choudrant, Louisiana","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47504.png",,
Akshay Bhatia,"6'1""",130,Raleigh,North Carolina,None,None,None,"Wake Forest, NC",North Carolina,1/31/2002,Top 125 FedExCup 2024,North Carolina-None-North Carolina,"Raleigh, North Carolina",N/A,"Wake Forest, North Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_56630.png",,
Nick Taylor,"5'11""",170,Winnipeg,Manitoba,University of Washington,Seattle,Washington,"Abbotsford, Canada",N/A,4/14/1988,Top 125 FedExCup 2024,Manitoba-Washington-N/A,"Winnipeg, Manitoba","Seattle, Washington","Abbotsford, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_25493.png",,
Nick Dunlap,"6'3""",185,Huntsville,Alabama,University of Alabama,Tuscaloosa,Alabama,"Tuscaloosa, AL",Alabama,12/23/2003,Top 125 FedExCup 2024,Alabama-Alabama-Alabama,"Huntsville, Alabama","Tuscaloosa, Alabama","Tuscaloosa, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59866.png",,
Byeong Hun An,"6'1""",209,Seoul,South Korea,None,None,None,"Orlando, FL",Florida,9/17/1991,Top 50 OWGR 2025,South Korea-None-Florida,"Seoul, South Korea",N/A,"Orlando, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33948.png",,
Jason Day,"6'0""",195,Beaudesert,Australia,None,None,None,"Westerville, OH",Ohio,7/12/1987,Top 50 OWGR 2025,Australia-None-Ohio,"Beaudesert, Australia",N/A,"Westerville, Ohio","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_28089.png",,
Harris English,"6'3""",185,Valdosta,Georgia,University of Georgia,Athens,Georgia,"Sea Island, GA",Georgia,7/23/1989,Top 125 FedExCup 2024,Georgia-Georgia-Georgia,"Valdosta, Georgia","Athens, Georgia","Sea Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34099.png",,
Max Greyserman,"6'0""",175,New York,New York,Duke University,Durham,North Carolina,"Short Hills, NJ",New Jersey,5/31/1995,Top 125 FedExCup 2024,New York-North Carolina-New Jersey,"New York, New York","Durham, North Carolina","Short Hills, New Jersey","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51977.png",,
Denny McCarthy,"5'9""",165,Takoma Park,Maryland,University of Virginia,Charlottesville,Virginia,"Jupiter, FL",Florida,3/4/1993,Top 125 FedExCup 2024,Maryland-Virginia-Florida,"Takoma Park, Maryland","Charlottesville, Virginia","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47993.png",,
Brian Harman,"5'7""",155,Savannah,Georgia,University of Georgia,Athens,Georgia,"Sea Island, GA",Georgia,1/19/1987,Top 125 FedExCup 2024,Georgia-Georgia-Georgia,"Savannah, Georgia","Athens, Georgia","Sea Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27644.png",,
Justin Rose,"6'3""",195,Johannesburg,South Africa,None,None,None,"London, England",England,7/30/1980,Top 50 OWGR 2025,South Africa-None-England,"Johannesburg, South Africa",N/A,"London, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_22405.png",,
J.T. Poston,"6'2""",165,Hickory,North Carolina,Western Carolina University,Cullowhee,North Carolina,"St. Simons Island, GA",Georgia,6/1/1993,Top 125 FedExCup 2024,North Carolina-North Carolina-Georgia,"Hickory, North Carolina","Cullowhee, North Carolina","St. Simons Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49771.png",,
Taylor Pendrith,"6'2""",205,Richmond Hill,Ontario,Kent State University,Kent,Ohio,"Hobe Sound, FL",Florida,5/30/1991,Top 125 FedExCup 2024,Ontario-Ohio-Florida,"Richmond Hill, Ontario","Kent, Ohio","Hobe Sound, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_40250.png",,
Lucas Glover,"6'2""",195,Greenville,South Carolina,Clemson University,Clemson,South Carolina,"Jupiter, FL",Florida,11/12/1979,Top 125 FedExCup 2024,South Carolina-South Carolina-Florida,"Greenville, South Carolina","Clemson, South Carolina","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_25900.png",,
Stephan Jaeger,"5'9""",185,Munich,Germany,University of Tennessee at Chattanooga,Chattanooga,Tennessee,"Greenville, SC",South Carolina,5/30/1989,Top 125 FedExCup 2024,Germany-Tennessee-South Carolina,"Munich, Germany","Chattanooga, Tennessee","Greenville, South Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36799.png",,
Matthieu Pavon,"6'0""",165,Toulouse,France,None,None,None,"Andernos-les-Bains, France",France,11/2/1992,Top 125 FedExCup 2024,France-None-France,"Toulouse, France",N/A,"Andernos-les-Bains, France","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48153.png",,
Austin Eckroat,"6'0""",175,Edmond,Oklahoma,Oklahoma State University,Stillwater,Oklahoma,"Edmond, OK",Oklahoma,1/12/1999,Top 125 FedExCup 2024,Oklahoma-Oklahoma-Oklahoma,"Edmond, Oklahoma","Stillwater, Oklahoma","Edmond, Oklahoma","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57362.png",,
Rasmus Højgaard,"6'1""",175,Odense,Denmark,None,None,None,"Odense, Denmark",Denmark,3/12/2001,Top 50 OWGR 2025,Denmark-None-Denmark,"Odense, Denmark",N/A,"Odense, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52686.png",,
Nico Echavarria,"5'11""",165,Medellín,Colombia,University of Arkansas,Fayetteville,Arkansas,"Jupiter, FL",Florida,7/11/1994,Top 125 FedExCup 2024,Colombia-Arkansas-Florida,"Medellín, Colombia","Fayetteville, Arkansas","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51349.png",,
Cameron Young,"5'11""",185,Scarborough,New York,Wake Forest University,Winston-Salem,North Carolina,"Jupiter, FL",Florida,5/7/1997,Top 50 OWGR 2025,New York-North Carolina-Florida,"Scarborough, New York","Winston-Salem, North Carolina","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57366.png",,
Davis Thompson,"6'4""",180,Auburn,Alabama,University of Georgia,Athens,Georgia,"St. Simons Island, GA",Georgia,6/5/1999,Top 125 FedExCup 2024,Alabama-Georgia-Georgia,"Auburn, Alabama","Athens, Georgia","St. Simons Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58168.png",,
Cam Davis,"6'4""",180,Sydney,Australia,None,None,None,"Seattle, WA",Washington,2/21/1995,Top 125 FedExCup 2024,Australia-None-Washington,"Sydney, Australia",N/A,"Seattle, Washington","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_45157.png",,
Corey Conners,"6'0""",190,Listowel,Ontario,Kent State University,Kent,Ohio,"Palm Beach Gardens, FL",Florida,1/6/1992,Top 50 OWGR 2025,Ontario-Ohio-Florida,"Listowel, Ontario","Kent, Ohio","Palm Beach Gardens, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39997.png",,
Christiaan Bezuidenhout,"6'0""",165,Delmas,South Africa,None,None,None,"St. Francis Bay, South Africa",South Africa,5/18/1994,Top 125 FedExCup 2024,South Africa-None-South Africa,"Delmas, South Africa",N/A,"St. Francis Bay, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_45522.png",,
Daniel Berger,"6'1""",175,Plantation,Florida,Florida State University,Tallahassee,Florida,"Jupiter, FL",Florida,4/7/1993,Top 125 FedExCup 2024,Florida-Florida-Florida,"Plantation, Florida","Tallahassee, Florida","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_40026.png",,
Laurie Canter,"6'2""",176,Bath,England,None,None,None,"Bath, England",England,11/3/1989,Top 50 OWGR 2025,England-None-England,"Bath, England",N/A,"Bath, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34362.png",,
Jon Rahm,"6'2""",220,Barrika,Spain,Arizona State University,Tempe,Arizona,"Scottsdale, AZ",Arizona,11/10/1994,Top 50 OWGR 2025,Spain-Arizona-Arizona,"Barrika, Spain","Tempe, Arizona","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46970.png",,
Min Woo Lee,"6'0""",165,Perth,Australia,None,None,None,"Perth, Australia",Australia,7/27/1998,Top 50 OWGR 2025,Australia-None-Australia,"Perth, Australia",N/A,"Perth, Australia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37378.png",,
Matt McCarty,"6'0""",165,Scottsdale,Arizona,University of Oregon,Eugene,Oregon,"Scottsdale, AZ",Arizona,11/6/1997,Korn Ferry Tour 2024,Arizona-Oregon-Arizona,"Scottsdale, Arizona","Eugene, Oregon","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59141.png",,
Ben Griffin,"6'0""",185,Chapel Hill,North Carolina,University of North Carolina,Chapel Hill,North Carolina,"Sea Island, GA",Georgia,5/6/1996,Top 125 FedExCup 2024,North Carolina-North Carolina-Georgia,"Chapel Hill, North Carolina","Chapel Hill, North Carolina","Sea Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54591.png",,
Eric Cole,"5'9""",155,Palm Springs,California,Nova Southeastern University,Fort Lauderdale,Florida,"Tequesta, FL",Florida,6/12/1988,Top 125 FedExCup 2024,California-Florida-Florida,"Palm Springs, California","Fort Lauderdale, Florida","Tequesta, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47591.png",,
Thriston Lawrence,"5'11""",195,Nelspruit,South Africa,None,None,None,"Nelspruit, South Africa",South Africa,4/3/1997,Top 50 OWGR 2025,South Africa-None-South Africa,"Nelspruit, South Africa",N/A,"Nelspruit, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_45523.png",,
Matt Fitzpatrick,"5'10""",155,Sheffield,England,Northwestern University,Evanston,Illinois,"Jupiter, FL",Florida,9/1/1994,Top 50 OWGR 2025,England-Illinois-Florida,"Sheffield, England","Evanston, Illinois","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_40098.png",,
Alex Noren,"5'11""",165,Stockholm,Sweden,Oklahoma State University,Stillwater,Oklahoma,"Stockholm, Sweden",Sweden,7/12/1982,Top 50 OWGR 2025,Sweden-Oklahoma-Sweden,"Stockholm, Sweden","Stillwater, Oklahoma","Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27349.png",,
Jhonattan Vegas,"6'3""",230,Maturín,Venezuela,University of Texas,Austin,Texas,"Houston, TX",Texas,8/19/1984,Top 50 OWGR 2025,Venezuela-Texas-Texas,"Maturín, Venezuela","Austin, Texas","Houston, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27064.png",,
Max Homa,"6'1""",180,Burbank,California,"University of California, Berkeley",Berkeley,California,"Scottsdale, AZ",Arizona,11/19/1990,Top 50 OWGR 2025,California-California-Arizona,"Burbank, California","Berkeley, California","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39977.png",,
Mackenzie Hughes,"6'1""",180,Hamilton,Ontario,Kent State University,Kent,Ohio,"Charlotte, NC",North Carolina,11/23/1990,Top 125 FedExCup 2024,Ontario-Ohio-North Carolina,"Hamilton, Ontario","Kent, Ohio","Charlotte, North Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35506.png",,
Si Woo Kim,"5'11""",180,Seoul,South Korea,None,None,None,"Dallas, TX",Texas,6/28/1995,Top 125 FedExCup 2024,South Korea-None-Texas,"Seoul, South Korea",N/A,"Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37455.png",,
Will Zalatoris,"6'2""",175,San Francisco,California,Wake Forest University,Winston-Salem,North Carolina,"Dallas, TX",Texas,8/16/1996,Top 125 FedExCup 2024,California-North Carolina-Texas,"San Francisco, California","Winston-Salem, North Carolina","Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47483.png",,
Tom Hoge,"6'1""",175,Fargo,North Dakota,Texas Christian University,Fort Worth,Texas,"Fargo, ND",North Dakota,5/25/1989,Top 125 FedExCup 2024,North Dakota-Texas-North Dakota,"Fargo, North Dakota","Fort Worth, Texas","Fargo, North Dakota","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35532.png",,
Nicolai Højgaard,"6'1""",175,Odense,Denmark,None,None,None,"Aarhus, Denmark",Denmark,3/12/2001,Top 50 OWGR 2025,Denmark-None-Denmark,"Odense, Denmark",N/A,"Aarhus, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52453.png",,
