PLAYER,LOCATION,Latitude,Longitude,DISTANCE (miles),COMBINE,Local Ties,TOURNAMENT LOCATION,Latitude Tournament,Longitude Tournament,TYPE
Richard Mansell,N/A,,,,Richard MansellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Cristobal Del Solar,"Tallahassee, Florida",30.4383° N,84.2807° W,415.3793751,Cristobal Del SolarNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Bud Cauley,"Tuscaloosa, Alabama",33.2098° N,87.5692° W,340.5742503,Bud CauleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
David Skinns,"Knoxville, Tennessee",35.9606° N,83.9207° W,224.3782639,David SkinnsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kyle Westmoreland,"Colorado Springs, Colorado",38.9972° N,104.8605° W,579.6468198,Kyle WestmorelandNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Frederik Kjettrup,"Tallahassee, Florida",30.4383° N,84.2807° W,415.3793751,Frederik KjettrupNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Shubhankar Sharma,N/A,,,,Shubhankar SharmaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Trace Crowe,"Auburn, Alabama",32.6099° N,85.4808° W,345.1692758,Trace CroweNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Quade Cummins,"Norman, Oklahoma",35.1966° N,97.4458° W,458.3549788,Quade CumminsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Karl Vilips,"Stanford, California",37.4241° N,122.1661° W,1039.294738,Karl VilipsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ivan Cantero Gutierrez,N/A,,,,Ivan Cantero GutierrezNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Robby Shelton,"Tuscaloosa, Alabama",33.2098° N,87.5692° W,340.5742503,Robby SheltonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Marcus Kinhult,N/A,,,,Marcus KinhultNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Austin Smotherman,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Austin SmothermanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Darius Van Driel,N/A,,,,Darius Van DrielNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Sean Crocker,"Los Angeles, California",34.0522° N,118.2437° W,987.9094537,Sean CrockerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Lucas Herbert,N/A,,,,Lucas HerbertNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Zander Lombard,N/A,,,,Zander LombardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ollie Schniederjans,"Atlanta, Georgia",33.7490° N,84.3880° W,301.72143,Ollie SchniederjansNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Yuto Katsuragawa,N/A,,,,Yuto KatsuragawaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Trav Smyth,N/A,,,,Trav SmythNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Martin Couvra,N/A,,,,Martin CouvraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Danny Walker,"Charlottesville, Virginia",38.0339° N,78.5090° W,194.5003989,Danny WalkerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Brandon Stone,"Austin, Texas",30.2672° N,97.7431° W,583.0323671,Brandon StoneNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Braden Thornberry,"Oxford, Mississippi",34.3668° N,89.5190° W,327.6116953,Braden ThornberryNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kevin Tway,"Stillwater, Oklahoma",36.1230° N,97.0583° W,430.7549232,Kevin TwayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Carl Yuan,"Seattle, Washington",47.6062° N,122.3321° W,963.3814057,Carl YuanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Calum Hill,N/A,,,,Calum HillNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Martin Laird,"Fort Collins, Colorado",40.5853° N,105.0844° W,570.0390718,Martin LairdNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Matt NeSmith,"Columbia, South Carolina",34.0007° N,81.0348° W,296.5354676,Matt NeSmithNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ryosuke Kinoshita,N/A,,,,Ryosuke KinoshitaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jason Scrivener,N/A,,,,Jason ScrivenerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Sudarshan Yellamaraju,N/A,,,,Sudarshan YellamarajuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Barend Botha,N/A,,,,Barend BothaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Taiga Semikawa,N/A,,,,Taiga SemikawaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Justin Suh,"Los Angeles, California",34.0522° N,118.2437° W,987.9094537,Justin SuhNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Miguel Tabuena,N/A,,,,Miguel TabuenaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Wilco Nienaber,N/A,,,,Wilco NienaberNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ryan Moore,"Las Vegas, Nevada",36.1699° N,115.1398° W,877.0873629,Ryan MooreNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Zach Bauchou,"Stillwater, Oklahoma",36.1230° N,97.0583° W,430.7549232,Zach BauchouNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Scott Jamieson,"Augusta, Georgia",33.4735° N,82.0105° W,310.7740371,Scott JamiesonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Eugenio Chacarra,"Stillwater, Oklahoma",36.1230° N,97.0583° W,430.7549232,Eugenio ChacarraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jamie Rutherford,N/A,,,,Jamie RutherfordNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Taisei Shimizu,N/A,,,,Taisei ShimizuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Andrea Pavan,"College Station, Texas",30.6192° N,96.3361° W,547.18245,Andrea PavanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ryggs Johnston,"Tempe, Arizona",33.4255° N,111.9400° W,839.4496643,Ryggs JohnstonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Sam Bennett,"College Station, Texas",30.6192° N,96.3361° W,547.18245,Sam BennettNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Chad Ramey,"Starkville, Mississippi",33.4504° N,88.8184° W,346.5012596,Chad RameyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Hiroshi Iwata,N/A,,,,Hiroshi IwataNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Casey Jarvis,N/A,,,,Casey JarvisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Will Chandler,N/A,,,,Will ChandlerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ryan van Velzen,N/A,,,,Ryan van VelzenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Conor Purcell,N/A,,,,Conor PurcellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Todd Clements,N/A,,,,Todd ClementsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kiradech Aphibarnrat,N/A,,,,Kiradech AphibarnratNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kazuki Higa,N/A,,,,Kazuki HigaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Aaron Cockerill,N/A,,,,Aaron CockerillNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Nick Hardy,"Urbana-Champaign, Illinois",40.1097° N,88.2272° W,154.7149879,Nick HardyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Fabrizio Zanotti,N/A,,,,Fabrizio ZanottiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Oliver Lindell,N/A,,,,Oliver LindellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
S.Y. Noh,N/A,,,,S.Y. NohNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Caleb Surratt,"Knoxville, Tennessee",35.9606° N,83.9207° W,224.3782639,Caleb SurrattNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Josh Teater,"Morehead, Kentucky",,,,Josh TeaterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Joseph Bramlett,"Stanford, California",37.4241° N,122.1661° W,1039.294738,Joseph BramlettNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Deon Germishuys,N/A,,,,Deon GermishuysNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Garrick Higgo,N/A,,,,Garrick HiggoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Alfredo Garcia-Heredia,N/A,,,,Alfredo Garcia-HerediaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Marcel Schneider,N/A,,,,Marcel SchneiderNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Sadom Kaewkanjana,N/A,,,,Sadom KaewkanjanaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Young-han Song,N/A,,,,Young-han SongNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ren Yonezawa,N/A,,,,Ren YonezawaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ben Martin,"Clemson, South Carolina",34.6786° N,82.8385° W,267.7724948,Ben MartinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Mitchell Meissner,"Houston, Texas",29.7604° N,95.3698° W,553.9822431,Mitchell MeissnerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Will Gordon,"Nashville, Tennessee",36.1627° N,86.7816° W,237.3720848,Will GordonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Chesson Hadley,"Atlanta, Georgia",33.7490° N,84.3880° W,301.72143,Chesson HadleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Joel Moscatel Nachsh,N/A,,,,Joel Moscatel NachshNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Tom Vaillant,N/A,,,,Tom VaillantNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kevin Chappell,"Los Angeles, California",34.0522° N,118.2437° W,987.9094537,Kevin ChappellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Davis Chatfield,"Notre Dame, Indiana",41.7047° N,86.2387° W,83.62244382,Davis ChatfieldPossible,Possible,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kevin Velo,"Denver, Colorado",39.7392° N,104.9903° W,575.2117297,Kevin VeloNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Brandon Wu,"Stanford, California",37.4241° N,122.1661° W,1039.294738,Brandon WuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Hayden Buckley,"Columbia, Missouri",38.9517° N,92.3341° W,269.2191128,Hayden BuckleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Dylan Frittelli,"Austin, Texas",30.2672° N,97.7431° W,583.0323671,Dylan FrittelliNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jeremy Paul,"Boulder, Colorado",40.0070° N,105.2639° W,579.6449171,Jeremy PaulNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Curtis Luck,N/A,,,,Curtis LuckNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Zach Johnson,"Des Moines, Iowa",41.6005° N,93.6091° W,270.4083787,Zach JohnsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
MJ Maguire,"Jacksonville, Florida",30.3322° N,81.6557° W,419.7930572,MJ MaguireNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Matthew Southgate,N/A,,,,Matthew SouthgateNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Tyler Duncan,"West Lafayette, Indiana",40.4259° N,86.9081° W,119.8679099,Tyler DuncanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Trey Winstead,"Baton Rouge, Louisiana",30.4515° N,91.1871° W,469.9173256,Trey WinsteadNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Gavin Green,"Albuquerque, New Mexico",35.0845° N,106.6511° W,679.8240738,Gavin GreenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Davis Shore,"Tuscaloosa, Alabama",33.2098° N,87.5692° W,340.5742503,Davis ShoreNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Chez Reavie,"Tempe, Arizona",33.4255° N,111.9400° W,839.4496643,Chez ReavieNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Aaron Baddeley,N/A,,,,Aaron BaddeleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Webb Simpson,"Winston-Salem, North Carolina",36.0999° N,80.2442° W,231.7145804,Webb SimpsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ricardo Gouveia,"Orlando, Florida",28.5383° N,81.3792° W,482.2687471,Ricardo GouveiaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Peter Kuest,"Provo, Utah",40.2483° N,111.6492° W,740.1717491,Peter KuestNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jimmy Stanger,"Charlottesville, Virginia",38.0339° N,78.5090° W,194.5003989,Jimmy StangerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jens Dantorp,N/A,,,,Jens DantorpNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Carter Jenkins,N/A,,,,Carter JenkinsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Phachara Khongwatmai,N/A,,,,Phachara KhongwatmaiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Seungtaek Lee,N/A,,,,Seungtaek LeeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Hur In-hoi,N/A,,,,Hur In-hoiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Guntaek Koh,N/A,,,,Guntaek KohNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Lee Jung-hwan,N/A,,,,Lee Jung-hwanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Mason Andersen,"Tempe, Arizona",33.4255° N,111.9400° W,839.4496643,Mason AndersenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jeong Weon Ko,N/A,,,,Jeong Weon KoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kazuma Kobori,N/A,,,,Kazuma KoboriNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Max Kieffer,N/A,,,,Max KiefferNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Troy Merritt,"Boise, Idaho",43.6013° N,116.2028° W,830.9824273,Troy MerrittNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Daniel Summerhays,"Provo, Utah",40.2483° N,111.6492° W,740.1717491,Daniel SummerhaysNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Noah Goodwin,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Noah GoodwinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Takashi Ogiso,N/A,,,,Takashi OgisoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Emilio Gonzalez,N/A,,,,Emilio GonzalezNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kristoffer Reitan,N/A,,,,Kristoffer ReitanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kaito Onishi,N/A,,,,Kaito OnishiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Freddy Schott,N/A,,,,Freddy SchottNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Russell Knox,"Jacksonville, Florida",30.3322° N,81.6557° W,419.7930572,Russell KnoxNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Roger Sloan,"El Paso, Texas",31.7619° N,106.4850° W,738.0375788,Roger SloanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Gaganjeet Bhullar,N/A,,,,Gaganjeet BhullarNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Yuta Kaneko,N/A,,,,Yuta KanekoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Wooyoung Cho,N/A,,,,Wooyoung ChoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Padraig Harrington,N/A,,,,Padraig HarringtonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jonathan Broomhead,N/A,,,,Jonathan BroomheadNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Matt Atkins,"Aiken, South Carolina",33.5604° N,81.7196° W,308.6620011,Matt AtkinsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Carlos Ortiz,"Denton, Texas",33.2148° N,97.1331° W,496.2092876,Carlos OrtizNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Stewart Cink,"Atlanta, Georgia",33.7490° N,84.3880° W,301.72143,Stewart CinkNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Norman Xiong,"Eugene, Oregon",44.0459° N,123.0746° W,997.1231233,Norman XiongNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Myles Creighton,N/A,,,,Myles CreightonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Kieran Vincent,"Lynchburg, Virginia",37.3543° N,79.1737° W,204.0968778,Kieran VincentNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Andrew Wilson,N/A,,,,Andrew WilsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Brandon Crick,N/A,,,,Brandon CrickNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Trevor Cone,"Blacksburg, Virginia",37.2286° N,80.4227° W,193.3318285,Trevor ConeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Eddie Pepperell,N/A,,,,Eddie PepperellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Parker Coody,"Austin, Texas",30.2672° N,97.7431° W,583.0323671,Parker CoodyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Doc Redman,"Clemson, South Carolina",34.6786° N,82.8385° W,267.7724948,Doc RedmanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Yuki Inamori,N/A,,,,Yuki InamoriNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Thanapath Pichaikul,N/A,,,,Thanapath PichaikulNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Seth Reeves,"Atlanta, Georgia",33.7490° N,84.3880° W,301.72143,Seth ReevesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Thomas Pieters,"Urbana-Champaign, Illinois",40.1097° N,88.2272° W,154.7149879,Thomas PietersNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ross Steelman,"Athens, Georgia",33.9519° N,83.3576° W,292.8325618,Ross SteelmanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Benjamin Hebert,N/A,,,,Benjamin HebertNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Santiago Tarrio,N/A,,,,Santiago TarrioNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Mike Lorenzo-Vera,N/A,,,,Mike Lorenzo-VeraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Tom Lewis,N/A,,,,Tom LewisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Tomoyo Ikemura,N/A,,,,Tomoyo IkemuraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ryan McCormick,"Queens, New York",40.7227° N,73.8601° W,246.4625009,Ryan McCormickNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Tom Murray,N/A,,,,Tom MurrayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Mikko Korhonen,N/A,,,,Mikko KorhonenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Renato Paratore,N/A,,,,Renato ParatoreNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Scott Vincent,"Blacksburg, Virginia",37.2286° N,80.4227° W,193.3318285,Scott VincentNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Daan Huizing,N/A,,,,Daan HuizingNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Michael Lorenzo-Vera,N/A,,,,Michael Lorenzo-VeraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Nick Gabrelcik,"Jacksonville, Florida",30.3322° N,81.6557° W,419.7930572,Nick GabrelcikNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
James Morrison,N/A,,,,James MorrisonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Sung Kang,N/A,,,,Sung KangNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jack Singh Brar,N/A,,,,Jack Singh BrarNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Merrick Bremner,N/A,,,,Merrick BremnerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ryan Palmer,"College Station, Texas",30.6192° N,96.3361° W,547.18245,Ryan PalmerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
D.J. Trahan,"Clemson, South Carolina",34.6786° N,82.8385° W,267.7724948,D.J. TrahanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jack Senior,N/A,,,,Jack SeniorNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Jonas Blixt,"Tallahassee, Florida",30.4383° N,84.2807° W,415.3793751,Jonas BlixtNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Espen Kofstad,"Denver, Colorado",39.7392° N,104.9903° W,575.2117297,Espen KofstadNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Michael Hendry,N/A,,,,Michael HendryNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Matthew Baldwin,N/A,,,,Matthew BaldwinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Evan Harmeling,"Princeton, New Jersey",40.3573° N,74.6672° W,230.4724801,Evan HarmelingNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Ross Fisher,N/A,,,,Ross FisherNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Søren Kjeldsen,N/A,,,,Søren KjeldsenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Andy Ogletree,"Atlanta, Georgia",33.7490° N,84.3880° W,301.72143,Andy OgletreeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Matt Sharpstene,N/A,,,,Matt SharpsteneNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Chase Hanna,"Lawrence, Kansas",,,,Chase HannaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Richy Werenski,"Atlanta, Georgia",33.7490° N,84.3880° W,301.72143,Richy WerenskiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Chase Seiffert,"Tallahassee, Florida",30.4383° N,84.2807° W,415.3793751,Chase SeiffertNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Simon Forsström,N/A,,,,Simon ForsströmNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Robert Streb,"Manhattan, Kansas",,,,Robert StrebNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Chris Baker,"Ames, Iowa",,,,Chris BakerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Matt Every,"Gainesville, Florida",29.6516° N,82.3248° W,441.8895238,Matt EveryNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Gordon Sargent,"Nashville, Tennessee",36.1627° N,86.7816° W,237.3720848,Gordon SargentNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
Clement Sordet,"Lubbock, Texas",33.5779° N,101.8552° W,592.4917628,Clement SordetNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,COLLEGE
